id,phenograph,ct_broad
2118,5,cancer cell
2119,2,cancer cell
2120,3,cancer cell
2121,14,stromal cell
2123,3,cancer cell
2124,1,cancer cell
2125,19,other
2128,12,cancer cell
2133,3,cancer cell
2134,3,cancer cell
2135,2,cancer cell
2136,14,stromal cell
2137,17,myofibroblast
2139,2,cancer cell
2140,5,cancer cell
2141,11,cancer cell
2142,3,cancer cell
2143,3,cancer cell
2145,5,cancer cell
2146,5,cancer cell
2147,12,cancer cell
2148,3,cancer cell
2149,34,cancer cell
2150,11,cancer cell
2151,17,myofibroblast
2154,14,stromal cell
2155,3,cancer cell
2156,11,cancer cell
2157,4,cancer cell
2158,34,cancer cell
2159,12,cancer cell
2160,5,cancer cell
2161,3,cancer cell
2162,13,immune cell
2164,3,cancer cell
2165,2,cancer cell
2166,12,cancer cell
2167,12,cancer cell
2171,11,cancer cell
2174,2,cancer cell
2175,5,cancer cell
2177,5,cancer cell
2179,5,cancer cell
2180,3,cancer cell
2181,-1,other
2185,5,cancer cell
2186,5,cancer cell
2190,3,epithelial cell
2191,34,cancer cell
2192,3,cancer cell
2194,4,cancer cell
2195,5,cancer cell
2196,5,cancer cell
2197,2,cancer cell
2198,14,stromal cell
2199,11,cancer cell
2201,34,cancer cell
2202,34,cancer cell
2203,12,cancer cell
2204,34,cancer cell
2206,23,other
2207,3,cancer cell
2208,5,cancer cell
2210,3,cancer cell
2211,11,cancer cell
2212,20,cancer cell
2213,5,cancer cell
2219,22,stromal cell
2220,5,cancer cell
2223,12,cancer cell
2224,5,cancer cell
2225,14,stromal cell
2226,9,other
2229,3,cancer cell
2230,12,cancer cell
2231,34,cancer cell
2232,34,cancer cell
2233,2,cancer cell
2234,5,cancer cell
2235,14,stromal cell
2236,5,cancer cell
2237,2,cancer cell
2238,-1,other
2241,14,stromal cell
2242,11,cancer cell
2243,12,cancer cell
2244,5,cancer cell
2245,2,cancer cell
2246,37,cancer cell
2248,3,cancer cell
2250,34,cancer cell
2251,5,cancer cell
2252,2,cancer cell
2253,2,cancer cell
2256,5,cancer cell
2257,16,other
2258,6,cancer cell
2259,2,cancer cell
2262,11,cancer cell
2263,5,cancer cell
2264,3,cancer cell
2265,5,cancer cell
2266,12,cancer cell
2267,34,cancer cell
2269,29,other
2272,12,cancer cell
2273,3,cancer cell
2274,1,cancer cell
2277,34,cancer cell
2279,12,cancer cell
2280,3,cancer cell
2281,3,cancer cell
2282,8,other
2283,-1,other
2285,11,cancer cell
2286,19,other
2289,1,cancer cell
2290,12,cancer cell
2291,20,cancer cell
2292,34,cancer cell
2293,19,other
2294,34,cancer cell
2295,27,stromal cell
2296,19,other
2297,3,cancer cell
2298,5,cancer cell
2299,5,cancer cell
2301,5,cancer cell
2302,2,cancer cell
2303,5,cancer cell
2305,5,cancer cell
2306,5,cancer cell
2307,2,cancer cell
2310,14,stromal cell
2311,27,stromal cell
2312,13,immune cell
2316,34,cancer cell
2317,5,cancer cell
2321,12,cancer cell
2322,15,myofibroblast
2323,34,cancer cell
2324,2,cancer cell
2326,5,cancer cell
2327,19,other
2328,5,cancer cell
2329,3,cancer cell
2332,3,cancer cell
2334,5,cancer cell
2335,12,cancer cell
2336,3,cancer cell
2337,5,cancer cell
2339,2,cancer cell
2340,3,cancer cell
2343,5,cancer cell
2345,12,cancer cell
2346,3,cancer cell
2347,5,cancer cell
2348,5,cancer cell
2350,29,other
2351,12,cancer cell
2352,16,other
2353,19,other
2354,2,cancer cell
2355,29,other
2358,20,cancer cell
2359,14,stromal cell
2360,3,cancer cell
2361,2,cancer cell
2362,5,cancer cell
2364,5,cancer cell
2365,5,cancer cell
2366,29,other
2369,3,cancer cell
2370,14,stromal cell
2371,2,cancer cell
2372,2,cancer cell
2373,3,cancer cell
2374,30,immune cell
2375,3,cancer cell
2376,19,other
2378,3,cancer cell
2380,2,cancer cell
2381,3,cancer cell
2382,8,other
2383,34,cancer cell
2384,5,cancer cell
2386,9,other
2387,5,cancer cell
2389,3,cancer cell
2390,5,cancer cell
2393,12,cancer cell
2395,14,stromal cell
2397,14,stromal cell
2399,19,other
2402,34,cancer cell
2405,30,immune cell
2407,14,stromal cell
2409,37,cancer cell
2410,14,stromal cell
2411,8,other
2413,33,immune cell
2418,16,other
2419,12,cancer cell
2420,3,cancer cell
2421,11,cancer cell
2422,2,cancer cell
2423,5,cancer cell
2424,13,immune cell
2426,5,cancer cell
2429,34,cancer cell
2430,5,cancer cell
2431,2,cancer cell
2432,5,cancer cell
2433,5,cancer cell
2435,22,stromal cell
2436,12,cancer cell
2437,3,cancer cell
2438,12,cancer cell
2441,5,cancer cell
2442,19,other
2446,12,cancer cell
2447,3,cancer cell
2448,3,cancer cell
2449,14,stromal cell
2451,5,cancer cell
2455,13,immune cell
2457,16,other
2459,6,cancer cell
2461,14,stromal cell
2462,4,cancer cell
2465,3,cancer cell
2466,2,cancer cell
2467,3,cancer cell
2469,34,cancer cell
2470,2,cancer cell
2471,3,cancer cell
2474,14,stromal cell
2480,5,cancer cell
2481,14,stromal cell
2485,3,cancer cell
2486,37,cancer cell
2487,2,cancer cell
2490,5,cancer cell
2492,14,stromal cell
2493,12,cancer cell
2494,14,stromal cell
2495,3,cancer cell
2497,5,cancer cell
2498,27,stromal cell
2502,15,myofibroblast
2504,5,cancer cell
2505,3,cancer cell
2506,11,cancer cell
2507,3,cancer cell
2508,5,cancer cell
2509,2,cancer cell
2511,2,cancer cell
2513,3,cancer cell
2515,5,cancer cell
2516,9,other
2518,11,cancer cell
2519,5,cancer cell
2520,3,cancer cell
2524,11,cancer cell
2529,18,immune cell
2530,11,cancer cell
2531,5,cancer cell
2533,34,cancer cell
2534,21,endothelial cell
2536,15,myofibroblast
2537,5,cancer cell
2538,5,cancer cell
2539,5,cancer cell
2540,5,cancer cell
2541,20,cancer cell
2544,3,cancer cell
2545,2,cancer cell
2548,19,other
2550,3,cancer cell
2551,3,cancer cell
2552,2,cancer cell
2553,17,myofibroblast
2555,5,cancer cell
2558,3,cancer cell
2559,11,cancer cell
2560,5,cancer cell
2561,5,cancer cell
2562,5,cancer cell
2563,34,cancer cell
2564,12,cancer cell
2566,23,other
2567,3,cancer cell
2568,3,cancer cell
2569,5,cancer cell
2572,20,cancer cell
2573,12,cancer cell
2574,18,immune cell
2578,3,cancer cell
2580,16,other
2581,5,cancer cell
2582,3,cancer cell
2583,14,stromal cell
2584,3,cancer cell
2585,3,cancer cell
2586,-1,other
2589,2,cancer cell
2590,14,stromal cell
2591,3,cancer cell
2594,3,cancer cell
2595,19,other
2597,11,cancer cell
2598,7,cancer cell
2601,2,cancer cell
2602,12,cancer cell
2603,4,cancer cell
2607,27,stromal cell
2609,8,other
2610,3,epithelial cell
2613,15,myofibroblast
2614,2,cancer cell
2615,34,cancer cell
2616,-1,other
2617,29,other
2619,37,cancer cell
2620,2,cancer cell
2621,20,cancer cell
2622,11,cancer cell
2623,34,cancer cell
2624,2,cancer cell
2626,37,cancer cell
2627,2,cancer cell
2628,34,cancer cell
2629,34,cancer cell
2630,6,cancer cell
2632,34,cancer cell
2634,14,stromal cell
2636,5,cancer cell
2638,2,cancer cell
2639,12,cancer cell
2640,14,stromal cell
2641,34,cancer cell
2642,2,cancer cell
2643,14,stromal cell
2646,3,cancer cell
2649,14,stromal cell
2650,3,cancer cell
2651,2,cancer cell
2652,26,other
2653,4,cancer cell
2654,34,cancer cell
2657,34,cancer cell
2658,32,cancer cell
2659,11,cancer cell
2660,3,cancer cell
2661,5,cancer cell
2662,3,cancer cell
2664,34,cancer cell
2665,5,cancer cell
2666,3,cancer cell
2667,5,cancer cell
2670,5,cancer cell
2671,5,cancer cell
2672,9,other
2673,5,cancer cell
2674,2,cancer cell
2676,34,cancer cell
2678,9,other
2679,21,endothelial cell
2680,14,stromal cell
2681,2,cancer cell
2682,34,cancer cell
2683,6,cancer cell
2685,5,cancer cell
2687,19,other
2688,14,stromal cell
2690,4,cancer cell
2691,14,stromal cell
2693,3,cancer cell
2694,3,cancer cell
2695,3,cancer cell
2696,33,other
2698,11,cancer cell
2699,3,cancer cell
2700,2,cancer cell
2702,3,cancer cell
2703,14,stromal cell
2704,16,other
2705,14,stromal cell
2706,3,cancer cell
2707,15,myofibroblast
2708,34,cancer cell
2711,3,cancer cell
2713,34,cancer cell
2714,34,cancer cell
2715,8,other
2718,3,cancer cell
2719,34,cancer cell
2720,31,cancer cell
2721,5,cancer cell
2722,27,stromal cell
2724,34,cancer cell
2727,15,myofibroblast
2728,34,cancer cell
2729,16,other
2730,14,stromal cell
2731,23,plasma cell
2732,2,cancer cell
2733,3,cancer cell
2735,9,other
2737,2,cancer cell
2738,34,cancer cell
2741,14,stromal cell
2742,3,cancer cell
2743,26,immune cell
2744,27,stromal cell
2746,9,other
2748,14,stromal cell
2749,2,cancer cell
2750,1,cancer cell
2752,19,other
2753,19,other
2754,11,cancer cell
2757,31,cancer cell
2758,34,cancer cell
2759,1,cancer cell
2761,2,cancer cell
2764,3,cancer cell
2765,1,cancer cell
2766,16,other
2767,1,cancer cell
2768,2,cancer cell
2769,19,other
2770,34,cancer cell
2771,16,other
2772,31,cancer cell
2773,14,stromal cell
2774,31,cancer cell
2775,19,other
2776,2,cancer cell
2778,2,cancer cell
2780,16,other
2782,34,cancer cell
2783,2,cancer cell
2784,2,cancer cell
2785,37,cancer cell
2787,1,cancer cell
2791,2,cancer cell
2792,17,myofibroblast
2793,3,cancer cell
2794,14,stromal cell
2795,13,immune cell
2796,1,cancer cell
2797,3,cancer cell
2798,34,cancer cell
2800,6,cancer cell
2806,30,other
2808,14,stromal cell
3422,-1,other
3423,34,cancer cell
